customer_id,name,email,phone,signup_date
C1000,Eric Mcintosh,fthomas@example.org,519-562-0382x6960,2022-06-10
C1001,Ashley Edwards,jhahn@example.org,881.475.1184x864,2021-06-29
C1002,Rachael Thomas,escott@example.org,(413)751-6430x870,2022-04-01
C1003,Michelle Mayer,jtaylor@example.org,638.219.6134x76440,2022-07-10
C1004,Veronica Carter,ortizchristopher@example.com,860.345.9907,2022-03-28
C1005,Daniel Irwin,elaine13@example.net,874.371.7752x678,2022-02-03
C1006,Trevor Perez,jamesmayo@example.com,001-575-372-4839x36334,2022-07-13
C1007,Kimberly Lawrence,moniqueluna@example.com,771-334-8284,2021-03-16
C1008,Devin Sampson,olsenkimberly@example.net,+1-827-585-6884x69880,2022-03-05
C1009,Kyle Stout,iblake@example.org,+1-726-777-7925x08872,2022-07-21
C1010,Stacey Anderson,alejandrotyler@example.net,471.445.1454,2021-12-11
C1011,John Gould,charles00@example.com,(555)919-8441,2022-02-19
C1012,Jessica Wilcox,clementsdeborah@example.com,+1-602-247-9641x6031,2021-07-26
C1013,Alfred Powell,rneal@example.org,477-416-3802,2021-06-30
C1014,Rhonda Pitts,rossjason@example.net,455-292-1215x773,2022-11-16
C1015,Nicholas Ramsey,hansenbrenda@example.net,788.683.1801,2022-05-31
C1016,Justin Miller,melissa17@example.org,(326)435-8529x86764,2021-11-19
C1017,Jack Melendez,jessica46@example.net,(653)895-0855x17545,2022-12-16
C1018,Bryan Tyler,cherylkeller@example.org,+1-516-857-1472x0093,2021-11-09
C1019,Jerome Miranda,bennettshannon@example.org,501.276.5532x26627,2021-12-14
C1020,Steven Ramirez,geraldhuffman@example.net,782-302-0371x14092,2021-04-30
C1021,Megan Martinez,stevensonhelen@example.org,577-655-6886x3498,2022-01-12
C1022,Jared Johnson,theodore72@example.net,+1-250-921-5014x90862,2021-07-10
C1023,Deborah Cox,nicholas43@example.org,234-793-2376x9687,2021-06-23
C1024,Melinda Estrada,carol81@example.net,677-938-1435,2021-08-04
